,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
388460,False,/zpnbsUIeJEhoR2WRbZ0BotMsEJK.jpg,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",http://www.youmustconform.com/,388460,tt4740684,en,2084,"In the year 2084, society is slowly being crushed into conformity by an all-powerful computer. But one man is surprisingly impervious to the malevolent machine’s relentless conditioning. How is this possible? Because he doesn’t have enough brains to be brainwashed, demonstrating that perhaps, in this dystopian future, Ignorance really is Strength.",0.6,/37zMI8ngupmyN2TvcZvPbXDPD5A.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-06-17,0,4.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In the year 2084, the fate of mankind will rest in the hands of a total moron",2084,False,3.0,1
377405,False,,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,377405,,en,Tales Of Mild Interest,"Eighteen very different stories are told in this horror anthology film, as we get to see time travel, robots, aliens, murder, killer dolls and even the apocalypse.",0.6,,[],"[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2015-06-27,0,92.0,[],Released,18 People. 18 Stories. 1 Movie.,Tales Of Mild Interest,False,0.0,0
375730,False,,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",,375730,tt2436764,en,Proto,"'PROTO' is a sci-fi action adventure, about a child-like, experimental robot, set in the robotics lab where he has been built. Although PROTO has been made to fulfill the ambitions of his creator, Prof. Andrews, he learns to find his own dreams and ambitions, and also the strength needed to realise them. The main theme of the film is freedom, both literal and in the ability to choose one's own destiny - to break free of expectations. We wish for the film, while an exciting and fun science fiction, to also capture a magical sense of wonder. PROTO will overcome the expectations and restrictions placed on him and discovering his true self.",0.6,,"[{'id': 71478, 'logo_path': None, 'name': 'TSOMM Pictures', 'origin_country': ''}, {'id': 71479, 'logo_path': None, 'name': 'Eye Candy Film', 'origin_country': ''}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2014-10-16,0,16.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Proto,False,3.0,1
371644,False,/eEgW6WBVuzOu1Jn3rkupdIgQV7S.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,371644,tt0334588,tr,Uçan Daireler İstanbul'da,"Turkish sci-fi comedy from 1955. It’s recommended for fans of old Turkish movies and psychotronic cult films. It has a quite different feel than the more familiar superhero films from the country like Kilink Istanbulda, etc. It more closely resembles something like Abbot and Costello On Mars, with the addition of belly dancing. There are leotard-clad female aliens, a Plan 9-style spaceship, a Marilyn Monroe imitator. and a robot made out of a cardboard box. The leader of the female aliens tries her hand at interpretive dance. The plot, or what I can discern of it, involves a club founded by older unattractive wealthy women. The club uses sexy belly dancing to lure men in, then the womenfolk attempt to have their way with them.",0.6,/5U68Xh8A00OrJzqosaXOLnzlXdh.jpg,[],[],1955-01-01,0,66.0,"[{'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,Cardboard robots and belly dancers... what more could you want.,Flying Saucers Over Istanbul,False,0.0,0
344954,False,,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",,344954,tt0138815,cs,Slečna Golem,"It is the 1920's. The good-looking hostess Věra demonstrates household robots to visitors of the Futurum exhibition. Young inventor Petr comes to her rescue when she tries to flee from two men wanting to take her away. Věra confesses that she has fled from home because her father, a factory owner, wanted to profitably marry her off. Petr is fascinated by the emancipated woman and shows her round his laboratory, where he plans to create a robot of his own - but one that would be far more advanced. Věra cuts herself on a broken test-tube and a drop of her blood gets in the solution. In the morning, they are taken aback to see Věra's double. This lucky chance has helped Petr create an artificial being, Miss Golem. She has a single motive for her actions: to take care of Věra and allow her to do only what is good for her.",0.6,/ouzYULFD4kAWIQK47D554TMpw8c.jpg,"[{'id': 1931, 'logo_path': None, 'name': 'Filmové studio Barrandov', 'origin_country': 'XC'}]","[{'iso_3166_1': 'XC', 'name': 'Czechoslovakia'}]",1972-03-29,0,96.0,"[{'english_name': 'Czech', 'iso_639_1': 'cs', 'name': 'Český'}]",Released,,Miss Golem,False,4.0,2
340646,False,,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",,340646,tt2070830,en,Super Hell 3,"A final helping of improv-horror-comedy, in which a new Satan takes over the life of John Link, and Granny Bob becomes fed up with monsters and idiots alike.",0.6,,"[{'id': 53615, 'logo_path': None, 'name': 'Canibal Friends', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-31,0,44.0,[],Released,,Super Hell 3,False,0.0,0
333921,False,,,0,"[{'id': 10749, 'name': 'Romance'}]",http://www.artooinlove.com/,333921,tt4422390,en,Artoo in Love,'Artoo In Love' follows our intrepid droid-hero R2-D2 on his journey to find love on earth.,0.6,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-03-30,0,4.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Artoo in Love,False,0.0,0
329177,False,,,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",,329177,tt0310293,tr,Çilgin kiz ve üç süper adam,"Three supermen and one woman battle a band of Hooded henchmen, Bikini clad Assassins and a wacky robot all in the service of satan himself!",0.6,/AhdPKFSl7Dja8fp6e4sFZiCxClj.jpg,"[{'id': 124546, 'logo_path': None, 'name': 'Renkli', 'origin_country': ''}]","[{'iso_3166_1': 'TR', 'name': 'Turkey'}]",1973-08-01,0,65.0,"[{'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,,Three Supermen and Mad Girl,False,6.0,1
321221,False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,321221,tt4619556,nl,Ik ben Alice,"In order to meet future care demands for elderly who are lonely and suffering from dementia, carebot Alice has been developed. Can a robot build a human relationship with someone and thus replace a person of flesh and blood? The three women, all getting on in years, who are visited by her in Alice Cares actually become pretty fond of the robot girl.  Carebot Alice leaves the laboratory to visit Mrs. Remkes, Mrs. Schellekens-Blanke and Mrs. van Wittmarschen, each in their own house. The three women are getting on in age and are therefore exceptionally suited for the services of Alice, who has been developed by SELEMCA. This is a research group which tries to discover, with the help of community nurses and family, how 'sociobot' Alice should talk and react to stem the effects of loneliness on older women. The outcome of the experiment is surprising for all involved.",0.6,,"[{'id': 44439, 'logo_path': None, 'name': 'KeyDocs', 'origin_country': ''}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2015-01-23,0,80.0,"[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,Alice Cares,False,0.0,0
317098,False,/lgiVHg4wtDsL4fGU2BcR7UP36Q2.jpg,,31500,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",,317098,tt3331518,en,Manifold,"While a small-town sheriff investigates a mysterious multiple murder scene, a brilliant young software engineer is bizarrely linked to the crime and to a much bigger conspiracy.",0.6,/85W7cSPMdvz34c6H9ika32dnQ2W.jpg,"[{'id': 147627, 'logo_path': None, 'name': 'Juniper Island Productions', 'origin_country': ''}, {'id': 147630, 'logo_path': None, 'name': 'Famous First Films', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2013-09-20,0,10.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Manifold,False,0.0,0
306584,False,,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",,306584,tt0355949,ar,رحلة الى القمر,"In his quest for fame and success, Ismail, a driver for a newspaper company, tries to take some unauthorized photographs of the inside of a German rocket undergoing a technical test. He accidentally launches the rocket into space, taking with him Dr Sharvin, the German scientist who built the rocket, and Ahmad Rushdi, an Egyptian meteorologist. When their rocket somehow manages to land upon the moon, the three hapless space travelers meet Dr Cosmo and learn of the intelligent life that once inhabited the moon but which was all but annihilated by a nuclear war. After Rushdi falls in love with one of the moon girls, they all decide to return to earth but lack enough fuel for the trip and so have to venture to the foreboding far side of the moon to obtain some 'atomic petrol.' Will the crew ever return to the earth?",0.6,/ilICMWacBMHWP96wAQmmC3vm4bE.jpg,[],"[{'iso_3166_1': 'EG', 'name': 'Egypt'}]",1959-04-27,0,95.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,Journey to the Moon,False,4.3,2
